City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Winds
banda aceh,banda aceh,5.56,95.32,73.32,100,76,2.73
ylivieska,ylivieska,64.07,24.53,20.22,88,76,6.64
shellbrook,shellbrook,53.22,-106.39,23.0,92,90,3.62
klaksvik,klaksvik,62.23,-6.59,32.0,100,20,23.04
saint-georges,saint-georges,46.12,-70.67,6.72,70,0,3.74
manjeshwar,manjeshwar,12.72,74.89,75.2,83,0,4.74
cururupu,cururupu,-1.82,-44.87,81.82,77,64,6.76
urazovka,urazovka,55.4,45.62,14.19,83,76,9.22
dongsheng,dongsheng,29.72,112.52,40.47,95,92,3.4
lhokseumawe,lhokseumawe,5.18,97.15,80.25,100,24,2.51
vagur,vagur,61.47,-6.81,37.95,100,88,22.53
dolores,dolores,-33.53,-58.22,71.92,99,92,5.19
namatanai,namatanai,-3.66,152.44,79.48,100,20,11.79
saint anthony,saint anthony,43.97,-111.68,17.62,77,1,4.18
benguela,benguela,-12.58,13.4,74.85,100,8,3.96
malanville,malanville,11.86,3.39,71.97,29,0,7.99
olinda,olinda,-2.03,-79.75,84.2,66,75,4.7
bikin,bikin,46.82,134.25,-4.85,54,36,2.39
zhangye,zhangye,38.94,100.46,4.29,87,20,3.96
shingu,shingu,33.72,135.99,45.64,100,0,8.99
sayaxche,sayaxche,16.52,-90.17,87.13,43,0,4.29
bonfim,bonfim,3.36,-59.84,92.89,32,20,17.16
el tigre,el tigre,8.89,-64.25,91.45,30,0,13.13
salinopolis,salinopolis,-0.61,-47.36,80.83,98,56,9.89
alajuela,alajuela,10.02,-84.22,78.76,42,0,18.34
roma,roma,41.89,12.48,42.1,81,0,5.82
necochea,necochea,-38.55,-58.74,67.69,93,88,13.58
alghero,alghero,40.56,8.32,55.4,76,75,10.29
sharya,sharya,58.37,45.52,20.04,85,88,6.76
fort myers beach,fort myers beach,26.45,-81.95,77.58,54,1,11.41
walvis bay,walvis bay,-22.95,14.51,69.8,77,68,10.29
belaya gora,belaya gora,68.54,146.19,-22.76,68,68,9.78
blankenberge,blankenberge,51.31,3.13,49.41,87,75,23.04
tabuk,tabuk,17.41,121.44,61.62,99,80,0.72
pyrzyce,pyrzyce,53.15,14.89,42.8,87,75,16.11
pevek,pevek,69.7,170.27,-29.96,99,0,3.4
nakambala,nakambala,-15.83,27.78,67.65,95,48,6.42
suluq,suluq,31.67,20.25,53.2,67,76,10.0
gurlan,gurlan,41.84,60.39,33.8,74,0,9.17
cabedelo,cabedelo,-6.97,-34.84,82.4,69,20,13.87
kurumkan,kurumkan,54.33,110.32,-31.54,47,0,1.95
vila do maio,vila do maio,15.13,-23.22,71.6,68,40,11.41
osvaldo cruz,osvaldo cruz,-21.8,-50.88,93.2,38,40,3.36
oktyabrskiy,oktyabrskiy,55.61,37.97,26.6,86,75,6.71
oistins,oistins,13.07,-59.53,80.6,57,20,14.99
edd,edd,13.93,41.69,58.51,75,0,2.39
port blair,port blair,11.67,92.75,82.95,99,36,10.22
pangnirtung,pangnirtung,66.15,-65.72,-20.21,75,90,4.41
severodvinsk,severodvinsk,64.56,39.82,21.2,92,90,6.71
eenhana,eenhana,-17.48,16.34,82.4,22,0,3.36
vilhena,vilhena,-12.74,-60.15,77.0,83,40,2.24
boende,boende,-0.28,20.88,71.83,100,76,2.73
kaduqli,kaduqli,11.01,29.72,72.42,58,8,6.31
melfi,melfi,41.0,15.66,33.8,88,90,13.87
cortez,cortez,37.35,-108.58,35.06,81,90,3.36
balkanabat,balkanabat,39.51,54.36,33.58,72,56,1.95
vyazemskiy,vyazemskiy,47.53,134.76,-6.79,59,64,2.39
isangel,isangel,-19.55,169.27,78.94,100,44,5.64
baykit,baykit,61.68,96.39,-28.39,43,68,2.73
vila franca do campo,vila franca do campo,37.72,-25.43,59.0,77,40,6.93
lichuan,lichuan,30.3,108.94,34.35,95,92,2.39
nabire,nabire,-3.36,135.5,66.52,96,8,2.06
brawley,brawley,32.98,-115.53,59.99,44,1,5.82
svodin,svodin,47.91,18.5,41.0,99,75,11.41
sisimiut,sisimiut,66.94,-53.67,-28.7,100,8,1.61
meulaboh,meulaboh,4.14,96.13,77.05,100,20,3.18
haines junction,haines junction,60.75,-137.51,-11.78,67,20,0.94
chenghai,chenghai,23.46,116.77,62.6,82,75,4.47
rio grande,rio grande,-32.03,-52.1,80.6,83,40,6.93
kattivakkam,kattivakkam,13.22,80.32,73.4,78,20,9.44
minna,minna,9.62,6.55,76.02,70,0,3.4
ust-tsilma,ust-tsilma,65.44,52.15,17.25,77,76,7.65
margate,margate,-43.03,147.26,57.2,87,0,5.82
gidole,gidole,5.65,37.37,58.15,30,0,4.18
sao filipe,sao filipe,14.9,-24.5,72.6,96,20,12.68
kurri kurri,kurri kurri,-32.82,151.48,71.6,100,20,5.82
caraballeda,caraballeda,10.61,-66.85,78.8,74,20,4.7
horta,horta,41.43,2.16,48.24,75,0,3.36
kambove,kambove,-10.88,26.6,65.22,94,100,6.2
ambilobe,ambilobe,-13.19,49.05,70.03,92,8,2.73
altamont,altamont,49.4,-98.5,23.0,100,80,6.93
kavaratti,kavaratti,10.57,72.64,81.64,100,0,13.02
bozeman,bozeman,45.68,-111.04,34.81,58,1,2.28
caldwell,caldwell,43.67,-116.69,32.54,88,90,3.74
leua,leua,-11.65,20.45,65.53,96,76,3.96
kavkazskaya,kavkazskaya,45.45,40.67,25.39,97,64,3.06
wahlstedt,wahlstedt,53.95,10.21,44.6,81,75,24.16
najran,najran,17.54,44.22,64.4,31,0,3.62
beringovskiy,beringovskiy,63.05,179.32,-10.79,90,24,30.13
jalu,jalu,29.03,21.55,48.12,74,32,6.2
alofi,alofi,-19.06,-169.92,82.4,78,75,5.82
xuddur,xuddur,4.12,43.89,69.13,55,0,8.21
boguchany,boguchany,58.38,97.46,-21.68,63,0,2.73
udachnyy,udachnyy,66.42,112.4,-49.54,0,0,2.39
mishkino,mishkino,56.22,46.62,14.0,85,20,15.66
black river,black river,18.03,-77.85,82.4,74,20,16.11
muros,muros,42.77,-9.06,44.6,93,20,9.17
coquimbo,coquimbo,-29.95,-71.34,69.8,56,0,13.87
goure,goure,13.98,10.27,64.9,37,0,11.68
ankpa,ankpa,7.37,7.63,76.06,53,12,5.53
auki,auki,12.18,6.51,68.86,27,0,8.99
naze,naze,5.43,7.07,78.09,79,24,7.43
houston,houston,29.76,-95.37,55.87,41,1,8.05
vouliagmeni,vouliagmeni,37.81,23.78,39.27,75,20,1.12
flin flon,flin flon,54.77,-101.88,19.4,92,90,6.93
half moon bay,half moon bay,37.46,-122.43,57.74,71,75,4.7
bull savanna,bull savanna,17.89,-77.59,79.21,59,80,4.18
narrabri,narrabri,-30.33,149.78,75.2,53,0,10.29
wattegama,wattegama,7.35,80.68,67.51,97,24,2.84
zhigansk,zhigansk,66.77,123.37,-21.23,63,44,3.62
moerai,moerai,-22.43,-151.33,76.24,100,92,25.77
slantsy,slantsy,59.12,28.09,27.42,90,80,7.54
mayo,mayo,63.59,-135.9,-4.01,76,90,3.36
dudinka,dudinka,69.41,86.18,-10.57,72,44,28.23
okato,okato,-39.19,173.88,62.11,100,36,9.1
bonnyville,bonnyville,54.27,-110.74,26.6,100,90,8.05
mikhaylovsk,mikhaylovsk,56.44,59.12,21.12,76,88,7.76
salta,salta,-24.79,-65.41,80.96,61,75,8.05
waddan,waddan,29.16,16.14,31.87,70,0,3.62
katete,katete,-0.78,29.75,60.9,79,32,2.84
lewisporte,lewisporte,49.25,-55.06,23.0,67,75,12.75
marihatag,marihatag,8.8,126.3,75.57,100,92,7.99
ust-kan,ust-kan,50.93,84.77,-14.44,56,0,1.95
yarega,yarega,63.43,53.58,16.48,79,76,8.55
paptalaya,paptalaya,15.5,-84.32,77.0,83,40,8.05
petropavlovsk-kamchatskiy,petropavlovsk-kamchatskiy,53.05,158.65,3.2,84,0,8.95
nemuro,nemuro,43.32,145.57,26.52,100,8,11.79
gallup,gallup,35.53,-108.74,36.46,75,90,10.29
rovaniemi,rovaniemi,66.5,25.72,6.8,92,90,5.82
awbari,awbari,26.59,12.77,30.75,77,0,3.96
keti bandar,keti bandar,24.14,67.45,65.26,100,0,24.54
san gabriel,san gabriel,34.1,-118.11,59.4,48,1,2.62
sembakung,sembakung,3.82,117.25,74.4,97,44,2.39
billings,billings,45.79,-108.5,42.08,46,1,16.11
salym,salym,60.06,71.48,21.3,83,76,11.56
